title,url,difficulty,platform,topics,is_premium,frequency
Search in a Binary Search Tree,https://leetcode.com/problems/search-in-a-binary-search-tree/ ,Easy,LeetCode,"Tree",False,0.65
Convert Sorted Array to Binary Search Tree,https://leetcode.com/problems/convert-sorted-array-to-balanced-binary-search-tree/ ,Easy,LeetCode,"Tree",False,0.60
Merge Two Binary Trees,https://leetcode.com/problems/merge-two-binary-trees/ ,Easy,LeetCode,"Tree",False,0.60
Diameter of Binary Tree,https://leetcode.com/problems/diameter-of-binary-tree/ ,Easy,LeetCode,"Tree",False,0.70
Subtree of Another Tree,https://leetcode.com/problems/subtree-of-another-tree/ ,Easy,LeetCode,"Tree",False,0.70
Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/ ,Medium,LeetCode,"Tree, BFS",False,0.65
Binary Tree Maximum Path Sum,https://leetcode.com/problems/binary-tree-maximum-path-sum/ ,Hard,LeetCode,"Tree, DFS",False,0.75
Populating Next Right Pointers in Each Node,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/ ,Medium,LeetCode,"Tree",False,0.65
Find Minimum in Rotated Sorted Array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/ ,Medium,LeetCode,"Binary Search",False,0.70
Search in Rotated Sorted Array,https://leetcode.com/problems/search-in-rotated-sorted-array/ ,Medium,LeetCode,"Binary Search",False,0.80
Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/ ,Medium,LeetCode,"Array",False,0.85
Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/ ,Medium,LeetCode,"Heap",False,0.75
K Closest Points to Origin,https://leetcode.com/problems/k-closest-points-to-origin/ ,Medium,LeetCode,"Heap",False,0.70
Sort an Array,https://leetcode.com/problems/sort-an-array/ ,Medium,LeetCode,"Sorting",False,0.60
Merge Intervals,https://leetcode.com/problems/merge-intervals/ ,Medium,LeetCode,"Array",False,0.85
Insert Interval,https://leetcode.com/problems/insert-interval/ ,Hard,LeetCode,"Array",False,0.70
Non-overlapping Intervals,https://leetcode.com/problems/non-overlapping-intervals/ ,Medium,LeetCode,"Greedy",False,0.60
Meeting Rooms II,https://leetcode.com/problems/meeting-rooms-ii/ ,Medium,LeetCode,"Heap",False,0.70
Rotate Image,https://leetcode.com/problems/rotate-image/ ,Medium,LeetCode,"Matrix",False,0.65
Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/ ,Medium,LeetCode,"Matrix",False,0.65
Spiral Matrix,https://leetcode.com/problems/spiral-matrix/ ,Medium,LeetCode,"Matrix",False,0.70
Word Break,https://leetcode.com/problems/word-break/ ,Medium,LeetCode,"Dynamic Programming",False,0.80
Coin Change,https://leetcode.com/problems/coin-change/ ,Medium,LeetCode,"Dynamic Programming",False,0.75
Longest Increasing Subsequence,https://leetcode.com/problems/longest-increasing-subsequence/ ,Medium,LeetCode,"Dynamic Programming",False,0.80
Unique Paths,https://leetcode.com/problems/unique-paths/ ,Medium,LeetCode,"Dynamic Programming",False,0.70
Decode Ways,https://leetcode.com/problems/decode-ways/ ,Medium,LeetCode,"Dynamic Programming",False,0.75
House Robber,https://leetcode.com/problems/house-robber/ ,Easy,LeetCode,"Dynamic Programming",False,0.75
Jump Game,https://leetcode.com/problems/jump-game/ ,Medium,LeetCode,"Greedy",False,0.80
Combination Sum,https://leetcode.com/problems/combination-sum/ ,Medium,LeetCode,"Backtracking",False,0.75
Permutations,https://leetcode.com/problems/permutations/ ,Medium,LeetCode,"Backtracking",False,0.70
Subsets,https://leetcode.com/problems/subsets/ ,Medium,LeetCode,"Backtracking",False,0.75
Letter Combinations of a Phone Number,https://leetcode.com/problems/letter-combinations-of-a-phone-number/ ,Medium,LeetCode,"Backtracking",False,0.70
Generate Parentheses,https://leetcode.com/problems/generate-parentheses/ ,Medium,LeetCode,"Backtracking",False,0.75
N-Queens,https://leetcode.com/problems/n-queens/ ,Hard,LeetCode,"Backtracking",False,0.65
Word Ladder,https://leetcode.com/problems/word-ladder/ ,Hard,LeetCode,"BFS",False,0.80
Number of Islands,https://leetcode.com/problems/number-of-islands/ ,Medium,LeetCode,"DFS, BFS",False,0.85
Course Schedule,https://leetcode.com/problems/course-schedule/ ,Medium,LeetCode,"Graph",False,0.80
Clone Graph,https://leetcode.com/problems/clone-graph/ ,Medium,LeetCode,"Graph",False,0.70
Pacific Atlantic Water Flow,https://leetcode.com/problems/pacific-atlantic-water-flow/ ,Medium,LeetCode,"DFS, BFS",False,0.65
Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/ ,Medium,LeetCode,"Graph",False,0.70
Find the Duplicate Number,https://leetcode.com/problems/find-the-duplicate-number/ ,Medium,LeetCode,"Two Pointers",False,0.75
First Missing Positive,https://leetcode.com/problems/first-missing-positive/ ,Hard,LeetCode,"Array",False,0.70
Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/ ,Hard,LeetCode,"Two Pointers",False,0.80
Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/ ,Hard,LeetCode,"Stack",False,0.70
Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/ ,Hard,LeetCode,"Deque",False,0.75
Basic Calculator II,https://leetcode.com/problems/basic-calculator-ii/ ,Medium,LeetCode,"Stack",False,0.60
Evaluate Reverse Polish Notation,https://leetcode.com/problems/evaluate-reverse-polish-notation/ ,Medium,LeetCode,"Stack",False,0.65
Design Circular Queue,https://leetcode.com/problems/design-circular-queue/ ,Medium,LeetCode,"Queue",False,0.55
LRU Cache,https://leetcode.com/problems/lru-cache/ ,Medium,LeetCode,"Design",False,0.80
Min Stack,https://leetcode.com/problems/min-stack/ ,Easy,LeetCode,"Stack",False,0.70
Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/ ,Medium,LeetCode,"Trie",False,0.75
Word Search II,https://leetcode.com/problems/word-search-ii/ ,Hard,LeetCode,"Trie",False,0.70
Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store/ ,Medium,LeetCode,"Hash Map",False,0.65
Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/ ,Hard,LeetCode,"Heap",False,0.70
Alien Dictionary,https://leetcode.com/problems/alien-dictionary/ ,Hard,LeetCode,"Graph",False,0.65
Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/ ,Hard,LeetCode,"Graph",False,0.60
Word Break II,https://leetcode.com/problems/word-break-ii/ ,Hard,LeetCode,"Backtracking",False,0.65
Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/ ,Hard,LeetCode,"Dynamic Programming",False,0.75
Wildcard Matching,https://leetcode.com/problems/wildcard-matching/ ,Hard,LeetCode,"Dynamic Programming",False,0.70
Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/ ,Hard,LeetCode,"Dynamic Programming",False,0.60
Reverse Linked List II,https://leetcode.com/problems/reverse-linked-list-ii/ ,Medium,LeetCode,"Linked List",False,0.75
Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/ ,Medium,LeetCode,"Linked List",False,0.65
Partition List,https://leetcode.com/problems/partition-list/ ,Medium,LeetCode,"Linked List",False,0.60
Rotate List,https://leetcode.com/problems/rotate-list/ ,Medium,LeetCode,"Linked List",False,0.60
Copy List with Random Pointer,https://leetcode.com/problems/copy-list-with-random-pointer/ ,Medium,LeetCode,"Linked List",False,0.80
LRU Cache,https://leetcode.com/problems/lru-cache/ ,Medium,LeetCode,"Design, Hash Map",False,0.80
LFU Cache,https://leetcode.com/problems/lfu-cache/ ,Hard,LeetCode,"Design, Hash Map",True,0.65
Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/ ,Hard,LeetCode,"Heap, Linked List",False,0.85
Reorder List,https://leetcode.com/problems/reorder-list/ ,Medium,LeetCode,"Linked List",False,0.65
Odd Even Linked List,https://leetcode.com/problems/odd-even-linked-list/ ,Medium,LeetCode,"Linked List",False,0.60
Swap Nodes in Pairs,https://leetcode.com/problems/swap-nodes-in-pairs/ ,Medium,LeetCode,"Linked List",False,0.55
Remove Linked List Elements,https://leetcode.com/problems/remove-linked-list-elements/ ,Easy,LeetCode,"Linked List",False,0.50
Palindrome Pairs,https://leetcode.com/problems/palindrome-pairs/ ,Hard,LeetCode,"Trie, Hashing",False,0.60
Word Pattern,https://leetcode.com/problems/word-pattern/ ,Easy,LeetCode,"Hash Map",False,0.55
Isomorphic Strings,https://leetcode.com/problems/isomorphic-strings/ ,Easy,LeetCode,"Hash Map",False,0.65
Group Anagrams,https://leetcode.com/problems/group-anagrams/ ,Medium,LeetCode,"Hash Map",False,0.85
Longest Palindromic Substring,https://leetcode.com/problems/longest-palindromic-substring/ ,Medium,LeetCode,"String, Dynamic Programming",False,0.80
Zigzag Conversion,https://leetcode.com/problems/zigzag-conversion/ ,Medium,LeetCode,"String",False,0.50
Multiply Strings,https://leetcode.com/problems/multiply-strings/ ,Medium,LeetCode,"Math, String",False,0.55
Integer to Roman,https://leetcode.com/problems/integer-to-roman/ ,Medium,LeetCode,"Math",False,0.50
Roman to Integer,https://leetcode.com/problems/roman-to-integer/ ,Easy,LeetCode,"Math",False,0.65
Length of Last Word,https://leetcode.com/problems/length-of-last-word/ ,Easy,LeetCode,"String",False,0.45
Valid Sudoku,https://leetcode.com/problems/valid-sudoku/ ,Medium,LeetCode,"Array",False,0.60
Sudoku Solver,https://leetcode.com/problems/sudoku-solver/ ,Hard,LeetCode,"Backtracking",False,0.65
Count and Say,https://leetcode.com/problems/count-and-say/ ,Easy,LeetCode,"String",False,0.40
Implement Trie (Prefix Tree),https://leetcode.com/problems/implement-trie-prefix-tree/ ,Medium,LeetCode,"Trie",False,0.75
Word Search,https://leetcode.com/problems/word-search/ ,Medium,LeetCode,"Backtracking",False,0.75
Word Break II,https://leetcode.com/problems/word-break-ii/ ,Hard,LeetCode,"Backtracking",False,0.65
Letter Case Permutation,https://leetcode.com/problems/letter-case-permutation/ ,Medium,LeetCode,"Backtracking",False,0.60
Subsets II,https://leetcode.com/problems/subsets-ii/ ,Medium,LeetCode,"Backtracking",False,0.70
Combinations,https://leetcode.com/problems/combinations/ ,Medium,LeetCode,"Backtracking",False,0.65
Combination Sum II,https://leetcode.com/problems/combination-sum-ii/ ,Medium,LeetCode,"Backtracking",False,0.65
Permutations II,https://leetcode.com/problems/permutations-ii/ ,Medium,LeetCode,"Backtracking",False,0.65
N-Queens II,https://leetcode.com/problems/n-queens-ii/ ,Hard,LeetCode,"Backtracking",False,0.60
Gray Code,https://leetcode.com/problems/gray-code/ ,Medium,LeetCode,"Bit Manipulation",False,0.55
Generate Parentheses,https://leetcode.com/problems/generate-parentheses/ ,Medium,LeetCode,"Backtracking",False,0.75
Restore IP Addresses,https://leetcode.com/problems/restore-ip-addresses/ ,Medium,LeetCode,"Backtracking",False,0.60
Sudoku Solver,https://leetcode.com/problems/sudoku-solver/ ,Hard,LeetCode,"Backtracking",False,0.65
Find All Anagrams in a String,https://leetcode.com/problems/find-all-anagrams-in-a-string/ ,Medium,LeetCode,"Sliding Window",False,0.75
Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/ ,Hard,LeetCode,"Sliding Window",False,0.85
Longest Repeating Character Replacement,https://leetcode.com/problems/longest-repeating-character-replacement/ ,Medium,LeetCode,"Sliding Window",False,0.70
Fruit Into Baskets,https://leetcode.com/problems/fruit-into-baskets/ ,Medium,LeetCode,"Sliding Window",False,0.65
Sliding Window Maximum,https://leetcode.com/problems/sliding-window-maximum/ ,Hard,LeetCode,"Deque",False,0.75
Longest Valid Parentheses,https://leetcode.com/problems/longest-valid-parentheses/ ,Hard,LeetCode,"Dynamic Programming",False,0.70
Distinct Subsequences,https://leetcode.com/problems/distinct-subsequences/ ,Hard,LeetCode,"Dynamic Programming",False,0.60
Edit Distance,https://leetcode.com/problems/edit-distance/ ,Hard,LeetCode,"Dynamic Programming",False,0.80
Interleaving String,https://leetcode.com/problems/interleaving-string/ ,Hard,LeetCode,"Dynamic Programming",False,0.65
Unique Paths II,https://leetcode.com/problems/unique-paths-ii/ ,Medium,LeetCode,"Dynamic Programming",False,0.65
Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/ ,Medium,LeetCode,"Dynamic Programming",False,0.70
Climbing Stairs II,https://leetcode.com/problems/climbing-stairs-ii/ ,Easy,LeetCode,"Dynamic Programming",False,0.60
House Robber II,https://leetcode.com/problems/house-robber-ii/ ,Medium,LeetCode,"Dynamic Programming",False,0.65
Maximum Product Subarray,https://leetcode.com/problems/maximum-product-subarray/ ,Medium,LeetCode,"Dynamic Programming",False,0.70
Best Time to Buy and Sell Stock II,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii/ ,Easy,LeetCode,"Greedy",False,0.75
Best Time to Buy and Sell Stock III,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii/ ,Hard,LeetCode,"Dynamic Programming",False,0.70
Best Time to Buy and Sell Stock IV,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv/ ,Hard,LeetCode,"Dynamic Programming",False,0.60
Best Time to Buy and Sell Stock with Cooldown,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown/ ,Medium,LeetCode,"Dynamic Programming",False,0.65
Coin Change 2,https://leetcode.com/problems/coin-change-2/ ,Medium,LeetCode,"Dynamic Programming",False,0.70
Target Sum,https://leetcode.com/problems/target-sum/ ,Medium,LeetCode,"Dynamic Programming",False,0.65
Partition Equal Subset Sum,https://leetcode.com/problems/partition-equal-subset-sum/ ,Medium,LeetCode,"Dynamic Programming",False,0.70
Longest Increasing Subsequence II,https://leetcode.com/problems/longest-increasing-subsequence-ii/ ,Hard,LeetCode,"Dynamic Programming",False,0.60
Decode Ways II,https://leetcode.com/problems/decode-ways-ii/ ,Hard,LeetCode,"Dynamic Programming",False,0.60
Wildcard Matching,https://leetcode.com/problems/wildcard-matching/ ,Hard,LeetCode,"Dynamic Programming",False,0.70
Regular Expression Matching,https://leetcode.com/problems/regular-expression-matching/ ,Hard,LeetCode,"Dynamic Programming",False,0.75
Russian Doll Envelopes,https://leetcode.com/problems/russian-doll-envelopes/ ,Hard,LeetCode,"Dynamic Programming",False,0.65
Ones and Zeroes,https://leetcode.com/problems/ones-and-zeroes/ ,Medium,LeetCode,"Dynamic Programming",False,0.55
Maximum Profit in Job Scheduling,https://leetcode.com/problems/maximum-profit-in-job-scheduling/ ,Hard,LeetCode,"Dynamic Programming",False,0.65
Super Egg Drop,https://leetcode.com/problems/super-egg-drop/ ,Hard,LeetCode,"Dynamic Programming",False,0.60
Maximum Length of a Concatenated String with Unique Characters,https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters/ ,Medium,LeetCode,"Backtracking",False,0.65
Partition to K Equal Sum Subsets,https://leetcode.com/problems/partition-to-k-equal-sum-subsets/ ,Medium,LeetCode,"Backtracking",False,0.60
Palindrome Permutation,https://leetcode.com/problems/palindrome-permutation/ ,Easy,LeetCode,"Hash Map",False,0.50
Next Closest Time,https://leetcode.com/problems/next-closest-time/ ,Medium,LeetCode,"Backtracking",False,0.55
Expression Add Operators,https://leetcode.com/problems/expression-add-operators/ ,Hard,LeetCode,"Backtracking",False,0.60
Word Squares,https://leetcode.com/problems/word-squares/ ,Hard,LeetCode,"Backtracking",False,0.55
Remove Invalid Parentheses,https://leetcode.com/problems/remove-invalid-parentheses/ ,Hard,LeetCode,"BFS, Backtracking",False,0.70
N-Ary Tree Preorder Traversal,https://leetcode.com/problems/n-ary-tree-preorder-traversal/ ,Easy,LeetCode,"Tree",False,0.50
N-Ary Tree Postorder Traversal,https://leetcode.com/problems/n-ary-tree-postorder-traversal/ ,Easy,LeetCode,"Tree",False,0.50
Flatten a Multilevel Doubly Linked List,https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list/ ,Medium,LeetCode,"Linked List, DFS",False,0.65
Find the Closest Palindrome,https://leetcode.com/problems/find-the-closest-palindrome/ ,Hard,LeetCode,"Math",False,0.50
Minimum Genetic Mutation,https://leetcode.com/problems/minimum-genetic-mutation/ ,Medium,LeetCode,"BFS",False,0.60
Evaluate Division,https://leetcode.com/problems/evaluate-division/ ,Medium,LeetCode,"Graph",False,0.65
All Paths From Source to Target,https://leetcode.com/problems/all-paths-from-source-to-target/ ,Medium,LeetCode,"Graph",False,0.60
Redundant Connection,https://leetcode.com/problems/redundant-connection/ ,Medium,LeetCode,"Union-Find",False,0.70
Most Stones Removed with Same Row or Column,https://leetcode.com/problems/most-stones-removed-with-same-row-or-column/ ,Medium,LeetCode,"Union-Find",False,0.60
Smallest String With Swaps,https://leetcode.com/problems/smallest-string-with-swaps/ ,Medium,LeetCode,"Union-Find",False,0.65
Number of Provinces,https://leetcode.com/problems/number-of-provinces/ ,Medium,LeetCode,"DFS, Union-Find",False,0.70
Accounts Merge,https://leetcode.com/problems/accounts-merge/ ,Medium,LeetCode,"Union-Find",False,0.70
Is Graph Bipartite?,https://leetcode.com/problems/is-graph-bipartite/ ,Medium,LeetCode,"DFS, BFS",False,0.65
Course Schedule II,https://leetcode.com/problems/course-schedule-ii/ ,Medium,LeetCode,"Topological Sort",False,0.75
Alien Dictionary,https://leetcode.com/problems/alien-dictionary/ ,Hard,LeetCode,"Graph",False,0.65
Reconstruct Itinerary,https://leetcode.com/problems/reconstruct-itinerary/ ,Hard,LeetCode,"Graph",False,0.60
Cheapest Flights Within K Stops,https://leetcode.com/problems/cheapest-flights-within-k-stops/ ,Medium,LeetCode,"Graph",False,0.70
Kth Largest Element in a Stream,https://leetcode.com/problems/kth-largest-element-in-a-stream/ ,Easy,LeetCode,"Heap",False,0.65
Last Stone Weight,https://leetcode.com/problems/last-stone-weight/ ,Easy,LeetCode,"Heap",False,0.60
Merge k Sorted Lists,https://leetcode.com/problems/merge-k-sorted-lists/ ,Hard,LeetCode,"Heap",False,0.85
Find Median from Data Stream,https://leetcode.com/problems/find-median-from-data-stream/ ,Hard,LeetCode,"Heap",False,0.70
Find the Most Competitive Subsequence,https://leetcode.com/problems/find-the-most-competitive-subsequence/ ,Medium,LeetCode,"Stack",False,0.60
Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/ ,Hard,LeetCode,"Stack",False,0.70
Trapping Rain Water,https://leetcode.com/problems/trapping-rain-water/ ,Hard,LeetCode,"Two Pointers",False,0.80
Daily Temperatures,https://leetcode.com/problems/daily-temperatures/ ,Medium,LeetCode,"Stack",False,0.75
Online Stock Span,https://leetcode.com/problems/online-stock-span/ ,Medium,LeetCode,"Stack",False,0.60
Sum of Subarray Minimums,https://leetcode.com/problems/sum-of-subarray-minimums/ ,Medium,LeetCode,"Stack",False,0.65
Car Fleet,https://leetcode.com/problems/car-fleet/ ,Medium,LeetCode,"Stack",False,0.60
Design Circular Queue,https://leetcode.com/problems/design-circular-queue/ ,Medium,LeetCode,"Queue",False,0.55
Time Based Key-Value Store,https://leetcode.com/problems/time-based-key-value-store/ ,Medium,LeetCode,"Hash Map",False,0.65
Implement Rand10() Using Rand7(),https://leetcode.com/problems/implement-rand10-using-rand7/ ,Medium,LeetCode,"Probability",False,0.60
Insert Delete GetRandom O(1),https://leetcode.com/problems/insert-delete-getrandom-o1/ ,Medium,LeetCode,"Hash Map",False,0.80
Shuffle an Array,https://leetcode.com/problems/shuffle-an-array/ ,Medium,LeetCode,"Array",False,0.50
Binary Tree Cameras,https://leetcode.com/problems/binary-tree-cameras/ ,Hard,LeetCode,"Tree, Greedy",False,0.60
Distribute Coins in Binary Tree,https://leetcode.com/problems/distribute-coins-in-binary-tree/ ,Medium,LeetCode,"Tree",False,0.65
Sum Root to Leaf Numbers,https://leetcode.com/problems/sum-root-to-leaf-numbers/ ,Medium,LeetCode,"Tree",False,0.60
Binary Tree Zigzag Level Order Traversal,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/ ,Medium,LeetCode,"Tree, BFS",False,0.65
Populating Next Right Pointers in Each Node II,https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii/ ,Medium,LeetCode,"Tree",False,0.65
Binary Tree Right Side View,https://leetcode.com/problems/binary-tree-right-side-view/ ,Medium,LeetCode,"Tree, BFS",False,0.70
Construct Binary Tree from Preorder and Inorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/ ,Medium,LeetCode,"Tree",False,0.75
Construct Binary Tree from Inorder and Postorder Traversal,https://leetcode.com/problems/construct-binary-tree-from-inorder-and-postorder-traversal/ ,Medium,LeetCode,"Tree",False,0.70
Serialize and Deserialize Binary Tree,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/ ,Hard,LeetCode,"Tree",False,0.80
Flip Binary Tree To Match Preorder Traversal,https://leetcode.com/problems/flip-binary-tree-to-match-preorder-traversal/ ,Medium,LeetCode,"Tree",False,0.60
Convert BST to Greater Tree,https://leetcode.com/problems/convert-bst-to-greater-tree/ ,Medium,LeetCode,"Tree",False,0.65
Find Mode in Binary Search Tree,https://leetcode.com/problems/find-mode-in-binary-search-tree/ ,Easy,LeetCode,"Tree",False,0.60
Binary Tree Postorder Traversal Iterative,https://leetcode.com/problems/binary-tree-postorder-traversal/ ,Hard,LeetCode,"Tree, Stack",False,0.65
Binary Tree Preorder Traversal Iterative,https://leetcode.com/problems/binary-tree-preorder-traversal/ ,Medium,LeetCode,"Tree, Stack",False,0.60
Flatten Binary Tree to Linked List,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/ ,Medium,LeetCode,"Tree",False,0.70
Sum of Left Leaves,https://leetcode.com/problems/sum-of-left-leaves/ ,Easy,LeetCode,"Tree",False,0.50
Path Sum II,https://leetcode.com/problems/path-sum-ii/ ,Medium,LeetCode,"Tree, DFS",False,0.70
Binary Tree Paths,https://leetcode.com/problems/binary-tree-paths/ ,Easy,LeetCode,"Tree",False,0.60
Find Leaves of Binary Tree,https://leetcode.com/problems/find-leaves-of-binary-tree/ ,Medium,LeetCode,"Tree",False,0.60
Lowest Common Ancestor of a Binary Tree,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/ ,Medium,LeetCode,"Tree",False,0.80
Delete Node in a BST,https://leetcode.com/problems/delete-node-in-a-bst/ ,Medium,LeetCode,"Tree",False,0.70
Inorder Successor in BST,https://leetcode.com/problems/inorder-successor-in-bst/ ,Medium,LeetCode,"Tree",False,0.65
Kth Smallest Element in a Sorted Matrix,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/ ,Medium,LeetCode,"Heap, Binary Search",False,0.70
Search a 2D Matrix II,https://leetcode.com/problems/search-a-2d-matrix-ii/ ,Medium,LeetCode,"Matrix",False,0.75
Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/ ,Medium,LeetCode,"Matrix",False,0.60
Set Matrix Zeroes II,https://leetcode.com/problems/set-matrix-zeroes-ii/ ,Medium,LeetCode,"Matrix",False,0.60
Game of Life,https://leetcode.com/problems/game-of-life/ ,Medium,LeetCode,"Matrix",False,0.70
Pascal's Triangle,https://leetcode.com/problems/pascals-triangle/ ,Easy,LeetCode,"Array",False,0.55
Pascal's Triangle II,https://leetcode.com/problems/pascals-triangle-ii/ ,Easy,LeetCode,"Array",False,0.50
Rotate Image Clockwise,https://leetcode.com/problems/rotate-image/ ,Medium,LeetCode,"Matrix",False,0.65
Valid Mountain Array,https://leetcode.com/problems/valid-mountain-array/ ,Easy,LeetCode,"Array",False,0.50
Find All Numbers Disappeared in an Array,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/ ,Easy,LeetCode,"Array",False,0.70
Third Maximum Number,https://leetcode.com/problems/third-maximum-number/ ,Easy,LeetCode,"Array",False,0.60
Maximum Swap,https://leetcode.com/problems/maximum-swap/ ,Medium,LeetCode,"Array",False,0.65
Next Greater Element I,https://leetcode.com/problems/next-greater-element-i/ ,Easy,LeetCode,"Stack",False,0.65
